name,birth_date,death_date,age_at_death,cause,sun_sign,sun_element,sun_saturn_hard,moon_saturn_hard,mars_sign,sun_neptune_aspect,cos_return_Sun,angle_return_Sun,cos_return_Moon,angle_return_Moon,cos_return_Mercury,angle_return_Mercury,cos_return_Venus,angle_return_Venus,cos_return_Mars,angle_return_Mars,cos_return_Jupiter,angle_return_Jupiter,cos_return_Saturn,angle_return_Saturn,cos_return_Uranus,angle_return_Uranus,cos_return_Neptune,angle_return_Neptune,cos_return_Pluto,angle_return_Pluto,cos_return_North Node,angle_return_North Node,birth_doy,death_doy,days_from_birthday,Ceres_Sign,Ceres_Lon,Pallas_Sign,Pallas_Lon,Juno_Sign,Juno_Lon,Vesta_Sign,Vesta_Lon,Chiron_Sign,Chiron_Lon
Arthur Miller,1915-10-17 12:00:00,2005-02-10,89.31690622861053,cardiac,Libra,Air,True,False,Leo,False,-0.482040193500661,118.81873525405273,0.8975222828591501,26.16573022030866,-0.2578561804953116,104.94289341879514,-0.1326857281683488,97.6248179744457,-0.8427639513071337,147.4331473526812,-0.8762655732464119,208.80488852162887,0.995549577510567,5.407536365837288,0.912414043035826,24.158884413144563,-0.9752954818765726,192.76215419018035,-0.9868193052319828,170.68709947933655,0.3018699528180687,72.43004850270955,290,41,116,Aquarius,317.42375069680924,Scorpio,213.9026302631045,Scorpio,212.20094248637236,Leo,125.20296179031085,,
Eugene ONeill,1888-10-16 12:00:00,1953-11-27,65.10882956878851,disease,Libra,Air,False,False,Sagittarius,False,0.7501307012195387,41.39829909881195,-0.942175103952712,160.42010495399074,0.9997947261700144,358.83905444690936,0.9999600602239008,0.512084804278345,0.3600784815026576,291.10501591879256,-0.9527315209337224,197.68679608229215,0.2469731932009932,75.7015266466311,0.0824393779013337,274.72879511626707,-0.8006807982626374,143.19516306536372,0.1850289877595795,79.3371775485785,-0.9999336575475348,180.65998762470895,290,331,41,Pisces,345.1958901429751,Scorpio,226.7982274661437,Scorpio,229.20927396015315,Sagittarius,264.9004150779729,,
Edward Albee,1928-03-12 12:00:00,2016-09-16,88.5119780971937,natural,Pisces,Water,True,False,Aquarius,False,-0.9991451467264956,182.36926894944943,-0.3698613648886396,111.70706755313358,-0.9363178271416684,200.5578972849247,-0.5263677372902829,238.23963562934983,0.6826814984303424,313.0535418258034,-0.9876327120651532,170.9796482824625,0.9897640473678057,351.7951071733804,0.9340670086877112,20.92206726187333,-0.9740373166130816,193.08448231039293,-0.9999989269516926,179.91606418609865,0.0347826759114504,88.00669740451879,72,260,177,Scorpio,238.32519865257734,Aquarius,326.76801290004113,Aquarius,323.07127841365156,Aquarius,310.04359646560954,,
Harold Pinter,1930-10-10 12:00:00,2008-12-24,78.20396988364134,cancer,Libra,Air,False,False,Cancer,False,0.23178605445933,76.59775292587946,-0.9761939327559952,192.52699239262463,-0.3369658190404987,109.69212280420749,0.1742883826451638,79.96275095488906,-0.8906093572417058,152.94991857625683,-0.9902424766326906,188.0105290591028,-0.2468961650548465,255.7060810752757,0.9120283640378152,335.7871788086333,-0.9758128048221278,167.37272448894586,-0.9404191155200692,160.12206090954032,0.2987146550041974,287.3804186772687,283,359,76,Taurus,47.863538726107095,Virgo,179.07004656449982,Scorpio,238.96151553560063,Cancer,114.94544502207206,,
Samuel Beckett,1906-04-13 12:00:00,1989-12-22,83.69062286105407,disease,Aries,Fire,False,False,Taurus,False,-0.3749367904143584,247.9795938464651,0.5860391397774294,305.8764344408071,0.2040361942644808,281.77308460081446,-0.0278106728709456,268.4063603449842,-0.9717726785839204,193.64581168091632,0.8612274253412462,30.545321271011478,0.553211283051933,303.5876005688715,0.9983340475530436,356.6922761717135,-0.9977055704149096,183.88202269787467,-0.8272391437633179,145.81616708383768,-0.9997578101187128,181.2610270218776,103,356,112,Sagittarius,261.99941705726513,Aries,8.764211681508286,Taurus,37.09786485291797,Taurus,49.34515940118661,,
Jean-Paul Sartre,1905-06-21 18:00:00,1980-04-15,74.8145106091718,disease,Gemini,Air,False,True,Scorpio,True,0.4386574270784328,296.01825104089426,0.4202717708643358,65.14825329342113,0.0844313882004969,274.84332827397475,0.8978271755584509,26.12608713603217,0.307470250567911,287.90684199442205,-0.1074189896805299,96.16655289530944,-0.9484537828432816,198.47648840248425,0.7915808667879529,322.3334923313177,-0.9658511196872124,164.98347080662887,-0.482350216918155,118.83901121286046,0.9924244075057752,352.94299404033035,172,106,66,Aquarius,325.3702551425487,Gemini,86.36007224887464,Taurus,44.93536433627641,Scorpio,218.45649084000388,,
Albert Camus,1913-11-07 02:00:00,1960-01-04,46.15468856947297,accident,Scorpio,Water,False,False,Cancer,False,0.5138976194648501,59.076201232513256,0.8685906094923118,29.70472998318797,0.9171353321460272,23.4891839538538,0.7467387755687422,41.69133524237592,-0.8725703319590233,150.75871652814283,0.9111560105983928,335.6655956428639,-0.9211193391894882,202.9097258576052,-0.958460114357077,196.57239359371812,-0.1828330115268305,100.53481839542182,0.421345093995585,65.08046194305454,-0.992051441015713,187.22886174879363,311,4,58,Aquarius,328.5011790921194,Sagittarius,246.73828499403697,Libra,200.8630791921752,Cancer,112.10520110917643,,
Simone de Beauvoir,1908-01-09 04:00:00,1986-04-14,78.25872689938399,disease,Capricorn,Earth,False,True,Pisces,False,-0.117386563510568,96.74129760805504,0.1396407773504999,81.9729398790891,0.3016198113504958,72.44508124887625,0.0163971103417251,89.06047267696329,0.1692319587804121,279.74316653042933,-0.8582643894270553,210.87773638220824,-0.229741949080813,256.7181203077308,0.9344992402503453,339.1473937665289,-0.9912699744818408,172.42361834410357,-0.681545607533429,132.96454064921903,0.2806495017087177,286.2989728145356,9,104,95,Pisces,359.77203007492244,Capricorn,284.24661553891997,Aquarius,315.8956781209166,Pisces,358.57496769846153,,
Jorge Luis Borges,1899-08-24 12:00:00,1986-06-14,86.80082135523614,cancer,Virgo,Earth,False,False,Libra,False,0.3758038106597015,292.0740019536352,-0.8066518492337799,143.77008609445312,0.7976172413423793,322.9031643087778,0.8958835079288686,333.6221400599673,-0.1939431365535216,101.18299118863196,-0.7276705628736589,136.69146294800592,0.9783893449964892,348.0668025033368,0.9602431417368752,16.2103768615967,-0.9900479735183788,188.09010627159935,-0.7452668058625919,138.18202065048126,-0.5164071568568301,121.091557771461,236,165,71,Aries,17.25435883097541,Leo,142.2943525941132,Leo,144.86362716374234,Libra,191.73779794303687,,
Gabriel Garcia Marquez,1927-03-06 12:00:00,2014-04-17,87.1129363449692,disease,Pisces,Water,True,False,Gemini,False,0.7375802706811049,42.474302348592914,-0.8542563679724587,211.32232162794105,0.934119838267619,20.913589197738872,0.8892123201509545,332.77443368225084,-0.630759564256559,129.1061840671316,-0.5307394480532278,122.05542997773324,0.9618937348436686,344.1319093920608,0.9669863460094928,14.763404868065264,-0.9790023198431362,191.76213506600857,-0.9999867667227456,179.70523778255583,-0.4237193609887015,115.06963002750764,65,107,42,Aries,23.12813073577631,Pisces,357.14948903524254,Aries,9.819264611655562,Gemini,66.57015836389188,,
