name,birth_date,event_year,event_type,age,prog_sun,prog_moon,natal_sun,natal_moon,sun_movement,moon_movement,mercury_movement,venus_movement,mars_movement,sun_sign_change,moon_sign_change,mercury_sign_change,venus_sign_change,mars_sign_change,hard_aspects,soft_aspects
Quentin Tarantino,1963-03-27,1994,career,31,36.3116269695285,84.40429715787074,5.8962362244017275,31.30000209392272,30.41539074512677,53.10429506394802,54.25121247716738,37.033079830536735,7.831721213429049,True,True,True,True,False,11,6
Quentin Tarantino,1963-03-27,2003,career,40,45.04574736101304,198.49507867594312,5.8962362244017275,31.30000209392272,39.149511136611316,167.1950765820204,58.39108207941988,47.86212069610144,11.268354650999171,True,True,True,True,False,3,6
Quentin Tarantino,1963-03-27,2018,marriage,55,59.52011671821518,32.9242096051524,5.8962362244017275,31.30000209392272,53.62388049381345,1.6242075112296774,52.456096859560255,65.96261942460234,17.76712219397136,True,False,True,True,False,9,5
Alfred Hitchcock,1899-08-13,1926,marriage,27,166.5635818774471,215.57563123675078,140.47954871055015,218.59707893678564,26.084033166896944,356.97855229996514,358.6013134233378,33.43213055434785,17.450676073655075,True,False,True,True,False,6,4
Alfred Hitchcock,1899-08-13,1929,career,30,169.48318148561393,254.38171470866644,140.47954871055015,218.59707893678564,29.003632775063778,35.7846357718808,3.180083675675661,37.16242641622844,19.439832890817257,True,True,False,True,False,4,5
Alfred Hitchcock,1899-08-13,1940,career,41,180.22439295547738,53.36571938160291,140.47954871055015,218.59707893678564,39.744844244927236,194.76864044481727,22.92270846556596,50.85722721223283,26.814954619113877,True,True,False,True,True,7,1
Alfred Hitchcock,1899-08-13,1960,career,61,199.93529788248128,306.2074946607474,140.47954871055015,218.59707893678564,59.45574917193113,87.61041572396175,57.59988927802192,75.81887590658087,40.562320631652,True,True,True,True,True,8,5
Alfred Hitchcock,1899-08-13,1980,death,81,219.86559072531162,208.78184197770832,140.47954871055015,218.59707893678564,79.38604201476147,350.1847630409227,87.72338305260607,100.81402102058854,54.731385469738626,True,True,True,True,True,7,2
John F. Kennedy,1917-05-29,1946,career,29,95.35620729690658,184.82768349473145,67.64381014013682,164.71023025786633,27.712397156769754,20.117453236865117,28.212801457459136,35.546806376596635,20.746048128281828,True,True,True,True,True,6,4
John F. Kennedy,1917-05-29,1953,marriage,36,102.02834490079702,278.22339791486166,67.64381014013682,164.71023025786633,34.3845347606602,113.51316765699534,41.86031129891724,44.10482052451836,25.632434213094356,True,True,True,True,True,4,2
John F. Kennedy,1917-05-29,1960,career,43,108.70046809530916,20.202587626932058,67.64381014013682,164.71023025786633,41.05665795517234,215.49235736906573,56.82285020069068,52.65213282193223,30.471967692297184,True,True,True,True,True,3,10
John F. Kennedy,1917-05-29,1963,death,46,111.56189839594836,60.11383311770102,67.64381014013682,164.71023025786633,43.91808825581154,255.40360285983468,63.25490829037291,56.31252375558246,32.5320206675717,True,True,True,True,True,8,9
Richard Nixon,1913-01-09,1946,career,33,322.5870041993617,24.250229015190893,289.05884414274294,316.12746780870185,33.52816005661873,68.12276120648903,52.216340990232254,36.1995382459034,24.824749649318733,True,True,True,True,True,7,4
