name,birth_date,death_date,age_at_death,cause,sun_sign,sun_element,sun_saturn_hard,moon_saturn_hard,mars_sign,sun_neptune_aspect,cos_return_Sun,angle_return_Sun,cos_return_Moon,angle_return_Moon,cos_return_Mercury,angle_return_Mercury,cos_return_Venus,angle_return_Venus,cos_return_Mars,angle_return_Mars,cos_return_Jupiter,angle_return_Jupiter,cos_return_Saturn,angle_return_Saturn,cos_return_Uranus,angle_return_Uranus,cos_return_Neptune,angle_return_Neptune,cos_return_Pluto,angle_return_Pluto,cos_return_North Node,angle_return_North Node,birth_doy,death_doy,days_from_birthday
Kim Hunter,1922-11-12 12:00:00,2002-09-11,79.82751540041068,cardiac,Scorpio,Water,False,False,Aquarius,True,0.4887523838644724,299.25861232649027,0.034740251376365244,88.00912962126728,0.921943847594022,337.21193419442193,0.8095179404990336,324.04885960666303,-0.8724705899659181,209.2529802742924,0.08672912124943312,274.97546347697585,-0.29237718259659684,252.9996717998883,0.9715151937433849,346.2917949855628,-0.9860834624497397,170.43008292889965,-0.8983060756572923,153.9362940922453,-0.2424476660388042,255.9689512557559,316,254,62
Lee Remick,1935-12-14 12:00:00,1991-07-02,55.54551676933607,cancer,Sagittarius,Fire,False,False,Aquarius,True,-0.9480797371709833,198.54399386456288,-0.9042278857227712,205.28050780982716,-0.8390675745628198,212.95821161405618,0.29739427948214964,287.3011645338704,-0.9594878126638662,196.3646859103034,-0.39393287643714364,246.80056309498366,0.8710890035179955,330.58543637863886,-0.34133129612276636,250.04199541028208,-0.4811404139330666,118.75991076357465,-0.3545050526832562,110.76311325877688,0.9951929088535731,5.620215088944917,348,183,165
Jean Simmons,1929-01-31 12:00:00,2010-01-22,80.9719370294319,cancer,Aquarius,Air,False,False,Gemini,False,0.9882489759727736,351.2077163543519,-0.9908000321373533,172.22206505566143,0.699296332709749,314.3705759036991,0.6032941598288738,307.10619056912407,0.6210782706772431,51.60508166397025,0.47470171853179094,298.33993073016825,0.13260686301936025,277.62025904902833,0.9826635282604446,349.3156668877517,-0.9958318308149929,174.76687310277754,-0.9752898637487266,167.23638872229023,-0.5899484576251585,233.8466493167139,31,22,9
Janet Leigh,1927-07-06 12:00:00,2004-10-03,77.24298425735797,disease,Cancer,Water,False,False,Leo,False,0.04895903111982792,87.1937322877117,-0.4834920636903074,241.08627631612333,0.3967350384196484,66.62577201756581,0.9998684417397933,0.9293973982159116,0.6912761378230798,46.268788685219164,-0.999783387988543,178.80742215336167,-0.5815460550317785,234.4406424578886,0.8666487582896756,330.0715084730821,-0.9765529925442904,167.56821221499246,-0.9021688973864063,154.44464003345485,0.5872649383929629,305.9631592032252,187,277,90
Sandra Dee,1942-04-23 12:00:00,2005-02-20,62.82819986310746,disease,Taurus,Earth,False,False,Gemini,False,0.4887044757136338,299.25546603846215,0.9885269060753451,351.31251623511764,0.5107289796994179,300.71239892076534,0.9111975919809048,335.67137804009684,-0.9802137225678604,191.41664188674662,-0.47737683423014404,118.51421861262394,0.6004781297984115,53.09585114951447,0.1340265566944454,277.7023341567333,-0.7440994276750077,138.08180479860545,-0.773957931736427,140.71065036955378,-0.710018984774864,224.76353999698864,113,51,62
Troy Donahue,1936-01-27 12:00:00,2001-09-02,65.59616700889802,cardiac,Aquarius,Air,False,False,Pisces,False,-0.8320499450727198,213.69010360205877,0.9694252800886952,345.7953131074249,-0.6892322224284448,226.4306366897984,-0.7787340048809138,218.85519221160524,0.28963764041607704,286.8362633303145,-0.9183973414884868,203.30710252641978,-0.10247295636107212,95.88159218444264,0.35002161450070995,290.4886371594543,-0.7676861997510595,140.1465638532303,-0.7252196166197129,136.48712041165302,-0.9882745346382446,171.2173020251854,27,245,147
Tab Hunter,1931-07-11 12:00:00,2018-07-08,86.98973305954826,cardiac,Cancer,Water,True,False,Virgo,False,0.9994319450341557,358.068683853622,0.9673338034947928,345.3149209386706,0.9813858310055887,11.07223861400891,0.5600346776512907,55.94180403305086,-0.7780881382960184,141.08585892298075,-0.25277960004779043,104.64205576774009,0.9657471678972018,344.96050050656925,0.9747665333508199,12.898629665730716,-0.976123343880714,192.54562538395805,-0.9999908916101992,179.75545501326633,-0.4608657198989991,117.44298494499265,192,189,3
Sal Mineo,1939-01-10 12:00:00,1976-02-12,37.086926762491444,homicide,Capricorn,Earth,True,False,Scorpio,False,0.8333831667815028,33.552144076025854,0.29444361393301954,287.12417703487836,0.8705787447888299,29.474036827193117,0.6844060921427076,46.81108245379775,-0.8723962587092102,209.2616943729172,0.659649729052261,48.72683539149904,-0.2729677526844791,105.84094203011242,-0.9930607977976567,173.24626742927492,0.16661127076789212,80.40915073189231,0.32799633931354655,70.85279351760018,0.9989427104902117,2.634952944282702,10,43,33
Nick Adams,1931-07-10 12:00:00,1968-02-07,36.577686516084874,overdose,Cancer,Water,True,False,Virgo,False,-0.8614406536962008,210.5212737381141,0.9732843623229829,13.27370142800882,-0.8399228799492799,212.86802316943204,-0.9729357236335625,193.3604235240971,-0.9947247609805234,185.88775599731883,0.82844015420635,34.06116402928768,0.19875578096276336,78.53579007947246,-0.9361403525599332,159.41316466801067,0.1287886322040668,82.60040238038721,0.46884597031784425,62.04058798303825,0.9763594370992658,12.483197736450336,191,38,153
Brandon de Wilde,1942-04-09 12:00:00,1972-07-06,30.239561943874058,accident,Aries,Fire,False,False,Gemini,False,0.07851640377517555,85.49670633004109,-0.17786090327389853,100.24518819360884,-0.5400909766262842,122.68983223363468,-0.26898436800250625,105.60383977492293,0.7054360903933086,45.13521409384319,-0.9673521380865112,194.68093462469744,0.9506911893448069,18.06761361180307,-0.722087651912151,136.22711091215223,0.4240311253696787,64.91064779362941,0.5586506654154586,56.03746646140236,-0.7080703721785012,135.0781315987207,99,188,89
