name,profession,north_node_lon,south_node_lon,sun_lon,moon_lon,north_node_sign,north_node_sign_id,nn_house_from_sun_equal,nn_house_from_moon_equal,sn_house_from_sun_equal,sn_house_from_moon_equal,nn_house_from_sun_whole,nn_house_from_moon_whole,sn_house_from_sun_whole,sn_house_from_moon_whole
Anish Kapoor,artist,292.224321413614,112.224321413614,351.3806593715684,90.76259130480975,Capricorn,9,11,7,5,1,11,7,5,1
Richard Serra,artist,227.83481638136266,47.83481638136266,219.41145100766025,333.49334471157056,Scorpio,7,1,9,7,3,1,9,7,3
Ansel Adams,artist,216.74441381119888,36.74441381119891,330.9377183100787,124.89173954172283,Scorpio,7,9,4,3,10,9,4,3,10
Henri Cartier-Bresson,artist,93.86888365386937,273.8688836538694,149.0777655049361,101.85965310557792,Cancer,3,11,12,5,6,12,1,6,7
Dorothea Lange,artist,348.53921337429375,168.5392133742937,64.94709512117066,90.4505187427357,Pisces,11,10,9,4,3,10,9,4,3
Richard Avedon,artist,168.43392240478772,348.4339224047877,53.62949818734993,48.73263678761084,Virgo,5,4,4,10,10,5,5,11,11
Annie Leibovitz,artist,16.691500695259354,196.69150069525935,188.95530312832582,318.1148852101272,Aries,0,7,2,1,8,7,3,1,9
Helmut Newton,artist,216.53939313216688,36.53939313216688,217.76959190929873,90.25734345945666,Scorpio,7,12,5,6,11,1,5,7,11
Robert Mapplethorpe,artist,72.15867180207424,252.15867180207425,221.47085027725004,338.3736133738038,Gemini,2,8,4,2,10,8,4,2,10
Cindy Sherman,artist,294.01490691441427,114.01490691441427,298.89005093477795,123.55498492818755,Capricorn,9,12,6,6,12,1,6,7,12
Sebastiao Salgado,artist,126.8350272386133,306.8350272386133,318.6139465432672,130.72651698303486,Leo,4,6,12,12,6,7,1,1,7
Steve McCurry,artist,7.89304012046848,187.89304012046847,335.31822719850845,58.983909774120455,Aries,0,2,11,8,5,2,12,8,6
Frank Lloyd Wright,artist,169.05296110476112,349.05296110476115,77.1804128922454,157.54870274841164,Virgo,5,4,1,10,7,4,1,10,7
Le Corbusier,artist,137.21134906478483,317.2113490647848,192.90850948553614,60.38529268627058,Leo,4,11,3,5,9,11,3,5,9
Ludwig Mies van der Rohe,artist,166.06129426723604,346.061294267236,6.74795583312416,277.3329408677257,Virgo,5,6,9,12,3,6,9,12,3
I.M. Pei,artist,283.0118167716519,103.01181677165192,35.67250601156056,95.60557612235279,Capricorn,9,9,7,3,1,9,7,3,1
Frank Gehry,artist,54.2063426391851,234.2063426391851,339.4231237806196,216.7834886075257,Taurus,1,3,7,9,1,3,7,9,1
Zaha Hadid,artist,357.5230389665225,177.52303896652256,217.49471796282748,98.9378123740223,Pisces,11,5,9,11,3,5,9,11,3
Renzo Piano,artist,249.66351880966985,69.66351880966988,171.24332711376664,279.0674101493083,Sagittarius,8,3,12,9,6,4,12,10,6
Norman Foster,artist,292.61019780127873,112.61019780127873,70.06338152211487,72.18909872437277,Capricorn,9,8,8,2,2,8,8,2,2
Tadao Ando,artist,172.76884114361582,352.7688411436158,170.29116412698016,76.83129332782877,Virgo,5,1,4,7,10,1,4,7,10
Santiago Calatrava,artist,340.47928401484893,160.47928401484887,124.60366994920592,64.91797929201798,Pisces,11,8,10,2,4,8,10,2,4
Rem Koolhaas,artist,109.663665879119,289.663665879119,235.02887331493005,253.1833848188699,Cancer,3,8,8,2,2,9,8,3,2
Bjarke Ingels,artist,252.17163462790285,72.17163462790285,188.91297625905602,21.165636114599902,Sagittarius,8,3,8,9,2,3,9,9,3
Coco Chanel,artist,214.68846371711672,34.68846371711675,146.28233509357906,341.50098675049645,Scorpio,7,3,8,9,2,4,9,10,3
Christian Dior,artist,159.79081778328788,339.7908177832879,300.81096082192244,123.46765625654598,Virgo,5,8,2,2,8,8,2,2,8
Yves Saint Laurent,artist,273.1606617094946,93.1606617094946,129.02782127789274,287.88075785396427,Capricorn,9,5,12,11,6,6,1,12,7
Gianni Versace,artist,71.75901486145415,251.75901486145415,249.7151338755494,346.74232239397924,Gemini,2,7,3,1,9,7,4,1,10
Giorgio Armani,artist,310.272819837039,130.27281983703898,108.48117294223053,106.17218623613064,Aquarius,10,7,7,1,1,8,8,2,2
Karl Lagerfeld,artist,328.4201992334268,148.42019923342679,167.30954402969525,62.00115846982478,Aquarius,10,6,9,12,3,6,9,12,3
Alexander McQueen,artist,0.247477310364773,180.2474773103648,356.7212566696747,347.86097417966886,Aries,0,1,1,7,7,2,2,8,8
Vivienne Westwood,artist,181.78135799574477,1.78135799574477,18.260229408347964,151.55858394686166,Libra,6,6,2,12,8,7,2,1,8
Rei Kawakubo,artist,153.46132766073006,333.46132766073003,197.5395777154691,214.8483218844044,Virgo,5,11,10,5,4,12,11,6,5
Ralph Lauren,artist,209.26725997826978,29.26725997826975,200.23915863302483,222.31520925957804,Libra,6,1,12,7,6,1,12,7,6
Tom Ford,artist,147.21000129088995,327.21000129089,153.96608588298162,353.2824347122301,Leo,4,12,6,6,12,12,6,6,12
Stella McCartney,artist,314.08619018085074,134.08619018085074,170.0424929996056,101.20586145296924,Aquarius,10,5,8,11,2,6,8,12,2
George Washington,politician,266.7960775395447,86.79607753954468,333.10671715001246,283.9202153125417,Sagittarius,8,10,12,4,6,10,12,4,6
Thomas Jefferson,politician,48.952277930785435,228.95227793078544,22.686625848345095,248.18931488024006,Taurus,1,1,6,7,12,2,6,8,12
Abraham Lincoln,politician,216.2058366899818,36.205836689981766,323.21697545061255,293.648402580223,Scorpio,7,9,10,3,4,10,11,4,5
Theodore Roosevelt,politician,336.8895954423309,156.88959544233091,214.11965800430207,103.91899907446461,Pisces,11,5,8,11,2,5,9,11,3
Franklin D. Roosevelt,politician,247.14445899907926,67.14445899907923,310.92823678320514,93.75484643007071,Sagittarius,8,10,6,4,12,11,6,5,12
John F. Kennedy,politician,281.25113676451014,101.25113676451014,67.64381014013682,164.71023025786633,Capricorn,9,8,4,2,10,8,5,2,11
Richard Nixon,politician,6.24620525885847,186.24620525885848,289.05884414274294,316.12746780870185,Aries,0,3,2,9,8,4,3,10,9
Ronald Reagan,politician,44.316346015807625,224.31634601580762,316.2710173694538,40.22535952898783,Taurus,1,3,1,9,7,4,1,10,7
Bill Clinton,politician,78.27198114351431,258.2719811435143,145.76136217436994,46.79474751566612,Gemini,2,10,2,4,8,11,2,5,8
Barack Obama,politician,147.30951830417783,327.3095183041778,132.1488216831599,58.04817203475016,Leo,4,1,3,7,9,1,4,7,10
Donald Trump,politician,80.80047052874816,260.8004705287482,82.76926071470227,259.2278560057739,Gemini,2,12,7,6,1,1,7,7,1
Joe Biden,politician,150.17409943504734,330.1740994350473,237.3910875598523,28.881772464613512,Virgo,5,10,5,4,11,11,6,5,12
Jimmy Carter,politician,142.04292512056435,322.04292512056435,187.81572070285247,220.1890002873232,Leo,4,11,10,5,4,11,10,5,4
George H.W. Bush,politician,145.2520987315527,325.2520987315527,81.19877688291726,195.51047414753904,Leo,4,3,11,9,5,3,11,9,5
