name,profession,Sun_lon,Sun_sign,Moon_lon,Moon_sign,Mercury_lon,Mercury_sign,Venus_lon,Venus_sign,Mars_lon,Mars_sign,Jupiter_lon,Jupiter_sign,Saturn_lon,Saturn_sign,kmeans_cluster,hier_cluster,kmeans_prof_cluster,PC1,PC2
Jay Leno,entertainer,37.22703187719979,1,160.11604411965814,5,56.10821382031418,1,351.6939675083836,11,172.20356193946515,5,332.2006402161697,11,162.83742392065278,5,0,1,7,-0.5384303349090493,1.4448975477798014
Charlie Chaplin,entertainer,27.000290025466025,0,219.3951967399382,7,17.807240772522842,0,48.11338299967091,1,43.57094733734199,1,278.1691807832161,9,133.42919839997765,4,0,1,4,-2.67578530292181,0.6782542529182203
Robin Williams,entertainer,117.98068508190903,3,336.00378996424683,11,141.75501838005036,4,160.05629229625276,5,101.76179995554757,3,13.870387736711344,0,177.83872595924407,5,0,1,0,-0.9558590495485767,-1.5126290815089398
Jim Carrey,entertainer,296.50311571643226,9,74.5205680118217,2,314.4465956893243,10,294.0287743691419,9,287.7568998573657,9,314.1354105054464,10,301.56342250709775,10,1,0,1,2.352664415312686,0.7934376748378347
Eddie Murphy,entertainer,13.494373894379263,0,220.65392244028587,7,349.32654886537597,11,25.324021066810523,0,104.48869403421467,3,303.1257168518996,10,298.80708530142385,9,0,0,4,-0.75046211843753,0.0662798742757596
Chris Rock,entertainer,318.5151576364347,10,25.39443088786334,0,306.5413143943141,10,302.72577305605216,10,177.45881863255147,5,47.423501539988585,1,335.306712765206,11,1,0,2,1.9104634532421925,-1.833453568729497
Dave Chappelle,entertainer,151.16971860028386,5,101.95405847014646,3,141.80287518097887,4,186.50020385538977,6,34.58076294649812,1,304.19657951048833,10,92.25031227034934,3,0,0,6,-0.7058085161798847,0.6382798080696911
Kevin Hart,entertainer,103.83205392391031,3,239.4755229104915,7,129.55721995047207,4,90.15093588142031,3,67.3780209570287,2,131.8946028112249,4,159.79812424728053,5,0,1,6,-1.485652887355923,-0.6482237225362572
Amy Schumer,entertainer,70.89350795646413,2,56.95783722758085,1,92.7863727289158,3,85.38240258770215,2,57.329369798490816,1,180.4787214489811,6,183.00722837989747,6,0,1,4,-1.9739273764332796,-0.24135660218437852
Tina Fey,entertainer,57.128930627788456,1,204.13217214146582,6,43.72869601987763,1,85.06289424139555,2,80.15776723158768,2,207.9300208120433,6,44.10987643973767,1,0,1,6,-2.233126269309992,0.6031933010650959
Amy Poehler,entertainer,172.96587571963076,5,138.65876193350934,4,156.06341239586288,5,178.31957839893855,5,312.20917917831264,10,240.66324801797833,8,66.52238687952259,2,1,0,7,0.07998998430726409,1.6549142694705246
Michael Jordan,athlete,328.1721916600989,10,247.45572308682216,8,302.4104212741109,10,282.959029347966,9,130.02709091321805,4,349.04697372724104,11,315.50519059984885,10,1,0,5,2.1780021486813506,0.07564796429493122
LeBron James,athlete,278.9875462028621,9,11.9350646316039,0,256.80141123557735,8,324.667367088605,10,333.9932583802918,11,291.10984724617737,9,234.5866100394,7,1,0,1,2.0941503395026295,1.24089972814347
Kobe Bryant,athlete,150.00215883625265,5,36.50099096992218,1,141.9935787655965,4,195.96737981579219,6,192.0409856379442,6,117.44444988771943,3,153.45458418975127,5,0,0,6,-0.475230809959873,-0.09458497747595009
Magic Johnson,athlete,140.95387948812376,4,268.025600078345,8,127.79807369753325,4,165.87576398796537,5,165.66585244874724,5,233.06451889150833,7,270.82644333615787,9,0,1,0,-0.46763219581509635,0.10310004133904864
Larry Bird,athlete,255.3794680851697,8,312.733828388742,10,268.78224974565046,8,224.74581842921054,7,0.509078097519777,0,179.3959202901319,5,246.51946656102257,8,1,0,3,0.7917757574821958,-1.4544553894581504
Shaquille ONeal,athlete,346.0231323982855,11,236.21976431242217,7,1.3487732122696208,0,29.27086008781386,0,46.43311837294341,1,274.7189769513367,9,60.71030709061935,2,0,0,6,-1.1071427103422957,0.6252810221605786
Kareem Abdul-Jabbar,athlete,25.656450813206774,0,328.02500708506255,10,0.43624524075309,0,349.6857729905243,11,3.5253545468231384,0,235.9259517556571,7,122.09572102017368,4,0,1,6,-1.3562873825314121,0.030307758191106707
Tim Duncan,athlete,35.40017790131107,1,352.78300927239195,11,55.53512406562096,1,21.08956145704598,0,108.58092993245054,3,37.09927053003073,1,116.76887307098389,3,0,1,0,-2.574189282625365,-0.8009543914305605
Kevin Durant,athlete,186.55622321551382,6,57.267741119223686,1,207.03801871149176,6,144.2149840291308,4,4.830145259617228,0,66.08964855592123,2,266.65881303161746,8,0,1,4,-0.5986320124365951,-1.9863608260262708
Stephen Curry,athlete,354.1254866793274,11,304.1868057487482,10,327.5667916033887,10,38.94249692858706,1,284.21656576663366,9,31.23705275924487,1,271.93091741815874,9,1,0,2,1.2982832494011882,-1.2517984866214191
Giannis Antetokounmpo,athlete,254.13751155796479,8,302.44888232100055,10,249.90658142169403,8,215.5290951798729,7,148.44689859251324,4,239.35677524260876,7,336.3181013118755,11,1,0,5,1.1168092015567583,-0.5371843826833891
Wilt Chamberlain,athlete,148.22583225360125,4,197.34264509496774,6,171.62369267378705,5,162.83847462265715,5,127.14571867237889,4,254.73967996318453,8,350.7149143444423,11,0,1,4,-0.26608112839353026,-0.2722598519128198
Bill Russell,athlete,323.09794479110826,10,301.896480197101,10,339.5475005773708,11,311.4424605388431,10,336.5750419146074,11,203.1521185829718,6,319.3214749123743,10,1,0,5,2.890218109711354,-0.02034071427101292
Charles Barkley,athlete,331.12853404727014,11,284.6251155362868,9,305.9458494347774,10,286.26791311973955,9,129.08934787038152,4,349.7370600947464,11,315.84980689406643,10,1,0,5,2.253491098137571,0.044707848297333125
