vix,conjunctions,squares,oppositions,trines,sextiles,hard_aspects,soft_aspects
16.639999389648400,0,2,1,1,1,3,2
15.630000114440900,0,2,1,1,1,3,2
14.770000457763700,0,2,1,1,1,3,2
15.579999923706100,0,1,1,1,1,2,2
14.960000038147000,0,1,1,1,1,2,2
14.760000228881800,0,1,1,1,1,2,2
13.199999809265100,0,1,1,1,1,2,2
13.539999961853000,0,1,1,1,1,2,2
13.550000190734900,0,1,1,1,1,2,2
13.039999961853000,0,1,1,1,1,2,2
12.819999694824200,0,1,1,1,1,2,2
12.670000076293900,0,1,1,1,1,2,2
12.4399995803833,0,1,1,1,1,2,2
11.970000267028800,0,1,0,1,1,1,2
11.770000457763700,0,1,0,1,1,1,2
12.739999771118200,0,1,0,1,1,1,2
12.020000457763700,0,1,0,1,1,1,2
12.869999885559100,0,1,0,1,1,1,2
13.050000190734900,0,1,0,1,1,1,2
12.829999923706100,0,1,0,1,1,1,2
12.720000267028800,0,1,0,1,1,1,2
11.869999885559100,0,1,0,1,1,1,2
12.4399995803833,0,1,0,0,1,1,1
13.369999885559100,0,1,0,0,1,1,1
12.859999656677200,0,1,0,0,1,1,1
12.420000076293900,0,1,0,0,1,1,1
11.390000343322800,0,1,0,0,1,1,1
11.5,0,1,0,0,1,1,1
11.65999984741210,0,1,0,0,1,1,1
12.050000190734900,0,1,0,0,1,1,1
11.680000305175800,0,1,0,0,1,1,1
11.550000190734900,0,1,0,0,1,1,1
11.8100004196167,0,1,0,0,1,1,1
12.640000343322800,0,1,0,0,1,1,1
12.1899995803833,0,1,0,0,1,1,1
11.430000305175800,0,1,0,0,1,1,1
11.34000015258790,0,1,0,0,1,1,1
12.270000457763700,0,1,0,0,1,1,1
12.380000114440900,0,1,0,0,1,1,1
13.449999809265100,0,1,0,0,1,1,1
13.630000114440900,0,1,0,0,1,1,1
13.649999618530300,0,1,0,0,1,1,1
12.9399995803833,0,1,0,0,1,1,1
13.119999885559100,0,1,0,0,1,1,1
13.420000076293900,0,1,0,0,1,1,1
13.479999542236300,0,1,0,0,1,1,1
11.979999542236300,0,1,0,0,1,1,1
12.020000457763700,0,1,0,0,1,1,1
11.9399995803833,0,1,0,0,1,1,1
12.510000228881800,0,1,0,0,1,1,1
17.5,0,1,0,0,1,1,1
15.15999984741210,0,1,0,0,1,1,1
17.850000381469700,0,1,0,0,1,1,1
18.139999389648400,0,1,0,0,1,1,1
16.299999237060500,0,1,0,0,1,1,1
15.369999885559100,0,1,0,0,1,1,1
15.529999732971200,0,1,0,0,1,1,1
