year,is_outbreak,outbreak_name,hard_aspect_count,Jupiter-Saturn_angle,Jupiter-Saturn_aspect,Jupiter-Uranus_angle,Jupiter-Uranus_aspect,Jupiter-Neptune_angle,Jupiter-Neptune_aspect,Jupiter-Pluto_angle,Jupiter-Pluto_aspect,Saturn-Uranus_angle,Saturn-Uranus_aspect,Saturn-Neptune_angle,Saturn-Neptune_aspect,Saturn-Pluto_angle,Saturn-Pluto_aspect,Uranus-Neptune_angle,Uranus-Neptune_aspect,Uranus-Pluto_angle,Uranus-Pluto_aspect,Neptune-Pluto_angle,Neptune-Pluto_aspect
1920,True,Cholera (Major),1,19.25823032445905,None,162.5822909055009,None,8.00013917849094,None,40.74070569090658,None,178.15947877004004,Opposition,27.25836950294999,None,59.99893601536563,None,154.58215172700997,None,121.84158521459432,None,32.74056651241564,None
1921,False,None,2,6.094190937327539,Conjunction,176.21440502404403,Opposition,31.09948725374062,None,64.8705537437451,None,170.1202140867165,None,37.19367819106816,None,70.96474468107264,None,152.68610772221535,None,118.91504123221085,None,33.771066490004486,None
1922,False,None,1,8.437580278152808,None,153.63177457740687,None,55.55961814718549,None,90.35217299410274,Square,162.06935485555968,None,47.12203786903268,None,81.91459271594994,None,150.80860727540764,None,116.01605242849038,None,34.792554846917255,None
1923,False,None,2,25.578328282247924,None,128.41636947310192,None,82.6374939469058,Square,118.44170349474888,None,153.99469775534985,None,57.05916566465788,None,92.86337521250096,Square,148.94613657999227,None,113.1419270321492,None,35.80420954784307,None
1924,False,None,0,46.39326078318683,None,99.48813262094473,None,113.38255709089188,None,150.19235018811287,None,145.88139340413156,None,66.98929630770505,None,103.79908940492604,None,147.1293102881634,None,110.3195171909424,None,36.80979309722099,None
1925,False,None,1,71.04477313624068,None,66.71729396799884,None,147.9968030979873,None,174.2044170346528,Opposition,137.76206710423952,None,76.95202996174663,None,114.75080982910652,None,145.28590293401385,None,107.48712306665396,None,37.79877986735988,None
1926,False,None,3,96.97138558170144,Square,32.632644742694026,None,176.0848507035562,Opposition,137.30885918061452,None,129.60403032439547,None,86.94376371474235,Square,125.71975523768404,None,143.4522059608622,None,104.67621443792049,None,38.775991522941695,None
1927,False,None,2,120.68837441178337,None,0.7179575055253387,Conjunction,142.34618864465105,None,102.60493718048772,None,121.4063319173087,None,96.96543694356558,Square,136.7066884077289,None,141.62823113912572,None,101.88697967496238,None,39.74125146416334,None
1928,False,None,0,140.97918126889465,None,27.73882778211655,None,112.09375053836756,None,71.39783024195573,None,113.24035348677808,None,106.9270681927378,None,147.62298848914963,None,139.83257832048412,None,99.13665802407229,None,40.69592029641183,None
1929,False,None,2,157.88945377034685,None,52.917156470626814,None,85.10985208874621,Square,43.472526157952245,None,104.97229729972003,None,117.00069414090694,None,158.6380200717009,None,138.02700855937303,None,96.38968262857907,Square,41.63732593079396,None
1930,False,None,3,172.48962755013525,Opposition,75.82826996783504,None,60.40523425746876,None,17.837380621385634,None,96.66135758230024,Square,127.10513819239597,None,169.6729918284791,None,136.23350422530382,None,93.66565058922068,Square,42.56785363608313,None
1931,False,None,6,174.3072533565362,Opposition,97.38243802051477,Square,37.0680536458713,None,6.419522467295238,Conjunction,88.31030862294904,Square,137.2391997106649,None,179.27322417616855,Opposition,134.45049166638606,None,90.96291555321953,Square,43.48757611316654,None
1932,False,None,1,161.38064972801982,None,118.60832544349316,None,14.06709995678554,None,30.32597296257572,None,80.011024828487,None,147.31354977123428,None,168.29337730940446,None,132.6754254002787,None,88.28235248091744,Square,44.39307291936126,None
1933,False,None,1,148.35675645529827,None,140.05340771591193,None,9.152720835641247,None,54.441530484296024,None,71.58983582878977,None,157.50947729093951,None,157.20171306040572,None,130.90068688027068,None,85.61187723161592,Square,45.28880964865478,None
1934,False,None,1,133.84827052823272,None,163.00441281895323,None,33.8772264523935,None,80.04909591783478,None,63.14731665281403,None,167.72549698062622,None,146.1026335539325,None,129.12718636655973,None,82.95531690111847,Square,46.171869465441276,None
1935,False,None,1,116.56459046825361,None,171.25826090927367,None,61.39064764155788,None,108.43178660696435,None,54.69367044102006,None,177.9552381098115,Opposition,135.00362292478204,None,127.35109144916845,None,80.30995248376198,None,47.041138965406475,None
1936,False,None,2,95.49664882907376,Square,141.76679037923677,None,92.67898770372815,Square,140.5674686772779,None,46.270141550162975,None,171.82436346719808,None,123.93588249364834,None,125.55422191703508,None,77.66574094348533,None,47.88848097354975,None
1937,False,None,1,70.77005964758825,None,108.57739237020763,None,127.66219727235551,None,176.38821560982444,Opposition,37.80733272261938,None,161.56774308005623,None,112.8417247425873,None,123.76041035743685,None,75.03439201996792,None,48.72601833746893,None
1938,False,None,0,45.21791017668039,None,74.58331044303264,None,163.46079926168963,None,146.9926644675091,None,29.36540026635225,None,151.32129056163,None,101.77475429082872,None,121.95589029527775,None,72.40935402447647,None,49.54653627080127,None
1939,False,None,1,22.17317047372431,None,43.12673473649847,None,163.2666308026755,None,112.9170897247464,None,20.95356426277416,None,141.09346032895118,None,90.74391925102209,Square,120.13989606617702,None,69.79035498824794,None,50.34954107792909,None
1940,False,None,2,2.6580134609846837,Conjunction,15.193258265698752,None,133.475013074111,None,82.35185169971749,Square,12.535244804714068,None,130.8169996131263,None,79.6938382387328,None,118.28175480841223,None,67.15859343401873,None,51.123161374393504,None
1941,False,None,1,13.753305950964261,None,9.568458964234573,None,106.87175950271708,None,54.9818026122349,None,4.1848469867296885,Conjunction,120.62506545368134,None,68.73510856319916,None,116.44021846695165,None,64.55026157646947,None,51.88995689048218,None
1942,False,None,2,28.026177100243615,None,32.15282294916954,None,82.4362198516382,Square,29.796433782271308,None,4.126645848925925,Conjunction,110.46239695188181,None,57.82261088251492,None,114.58904280080773,None,61.94925673144085,None,52.63978606936689,None
1943,False,None,1,41.06505565175057,None,53.463362050287316,None,59.264256025434904,None,5.891546707651486,Conjunction,12.398306398536747,None,100.32931167718547,None,46.956602359402055,None,112.72761807572222,None,59.3549087579388,None,53.37270931778342,None
1944,False,None,1,53.80220630521923,None,74.50370356128283,None,36.308395569288194,None,17.764249290016494,None,20.701497256063604,None,90.11060187450742,Square,36.037957015202736,None,110.81209913057103,None,56.73945427126634,None,54.07264485930469,None
1945,False,None,1,67.0375529940742,None,95.91659657065257,Square,13.007689979473781,None,41.76241105969234,None,28.87904357657837,None,80.04524297354799,None,25.275141934381864,None,108.92428655012635,None,54.15418551096023,None,54.77010103916612,None
1946,False,None,0,81.99104686182977,None,118.99318489953649,None,11.97216846935035,None,67.42110176999392,None,37.002138037706715,None,70.01887839247942,None,14.569945091835848,None,107.02101643018614,None,51.57208312954256,None,55.448933300643574,None
1947,False,None,2,99.97414380976906,None,145.04416614620237,None,39.94404195590187,None,96.05220900297627,Square,45.0700223364333,None,60.030101853867194,None,3.921934806792791,Conjunction,105.10012419030049,None,48.99195714322609,None,56.1081670470744,None
1948,False,None,2,121.79094584763354,None,174.92209521120958,Opposition,71.8166487320257,None,128.542700525765,None,53.13114936357603,None,49.97429711560784,None,6.751754678131476,Conjunction,103.10544647918387,None,46.37939468544455,None,56.726051793739316,None
1949,False,None,0,147.2395471567973,None,151.68168000019898,None,107.17972589140729,None,164.52037568752033,None,61.07877284300372,None,40.05982126539001,None,17.280828530723028,None,101.13859410839373,None,43.79794431228069,None,57.34064979611304,None
1950,False,None,1,173.00316171445934,Opposition,118.0176170025697,None,142.83642162516813,None,159.23248364379555,None,68.97922128297095,None,30.16674008929121,None,27.764354641745115,None,99.14596137226216,None,41.21486664122584,None,57.931094731036325,None
1951,False,None,3,164.09605588614633,None,87.25678645391949,Square,175.61774103868225,Opposition,125.88617813590777,None,76.83926943222686,None,20.286203075171414,None,38.209877750238576,None,97.12547250739827,Square,38.62939168198828,None,58.49608082540999,None
1952,False,None,3,144.71043627869534,None,60.06695416480715,None,155.08407563962854,None,96.07359882251106,Square,84.64348211388818,Square,10.373639360933197,None,48.63683745618428,None,95.01712147482138,Square,36.0066446577039,None,59.01047681711748,None
1953,False,None,3,128.38607377640903,None,35.952719776732366,None,128.89317858363404,None,69.3708869888554,None,92.43335399967667,Square,0.5071048072250051,Conjunction,59.01518678755363,None,92.94045880690167,Square,33.41816721212304,None,59.522291594778636,None
1954,False,None,1,114.11464553225746,None,13.901978662254251,None,104.73940827253587,None,44.73147521655635,None,100.2126668700032,None,9.375237259721587,None,69.38317031570111,None,90.83742961028162,Square,30.829496554302096,None,60.00793305597952,None
1955,False,None,2,101.00190912150931,None,6.988374180557443,Conjunction,81.72115224628696,None,21.253350701885736,None,107.99028330206676,None,19.28075687522235,None,79.74855841962358,None,88.7095264268444,Square,28.24172488244318,None,60.467801544401226,None
1956,False,None,4,87.95498775431028,Square,27.714915817010564,None,58.78089595479466,None,2.0934056114672046,Conjunction,115.66990357132084,None,29.174091799515622,None,90.04839336577749,Square,86.49581177180522,Square,25.62151020554336,None,60.87430156626186,None
1957,True,Asian Flu,1,74.47891733937121,None,48.96672450545536,None,35.35366932687796,None,25.928065119052917,None,123.44564184482657,None,39.125248012493245,None,100.40698245842412,None,84.32039383233332,Square,23.038659386402443,None,61.28173444593088,None
1958,False,None,1,59.17364943682864,None,72.05765970787527,None,10.063369461430312,None,51.59895254774949,None,131.2313091447039,None,49.11027997539833,None,110.77260198457813,None,82.12102916930559,Square,20.458707160125783,None,61.6623220091798,None
1959,False,None,0,40.716801695550515,None,98.3095512435628,None,18.411722811791094,None,80.42700097974165,None,139.0263529391133,None,59.12852450734161,None,121.14380267529216,None,79.8978284317717,None,17.882550263821145,None,62.015278167950555,None
1960,False,None,0,18.253951122507885,None,128.44767739524207,None,50.85813889199957,None,113.16652992358098,None,146.70162851774995,None,69.11209001450746,None,131.42048104608887,None,77.5895385032425,None,15.281147471661086,None,62.30839103158141,None
1961,False,None,2,7.293122446289999,Conjunction,161.8040745171997,None,86.48688354996904,Square,149.08804650897451,None,154.5109520709097,None,79.19376110367904,None,141.79492406268452,None,75.31719096723066,None,12.71602800822518,None,62.60116295900548,None
1962,False,None,2,32.541879263076225,None,165.1332745073313,None,121.848512197437,None,175.29003530956342,Opposition,162.32484622959248,None,89.30663293436078,Square,152.16808542736035,None,73.0182132952317,None,10.156760802232128,None,62.861452492999575,None
1963,False,None,1,54.602054105490936,None,135.26073718187826,None,154.0474538881832,None,142.86481411879447,None,170.1372087126308,None,99.4453997826923,None,162.53313177571462,None,70.6918089299385,None,7.6040769369161865,Conjunction,63.08773199302232,None
1964,False,None,4,73.23922617526762,None,108.88532521278103,None,177.17112099880293,Opposition,113.9239642271979,None,177.87544861195136,Opposition,109.58965282592945,None,172.83680959753448,Opposition,68.28579578602191,None,5.038639014416873,Conjunction,63.247156771605034,None
1965,False,None,6,88.84747684672232,Square,85.46955144618335,Square,151.37883043874058,None,87.97522985291423,Square,174.3170282929057,Opposition,119.77369271453708,None,176.82270669963657,Opposition,65.90927899255723,None,2.5056784067308797,Conjunction,63.403600585826354,None
1966,False,None,1,102.56620628614797,None,63.96982850094088,None,127.47893138204617,None,63.95348679647009,None,166.53603478708885,None,129.95486233180586,None,166.51969308261806,None,63.50910288110529,None,0.016341704470789864,Conjunction,63.52544458557608,None
1967,False,None,1,115.2936837759053,None,43.49082706793462,None,104.57982261284155,None,40.96580889805847,None,158.7845108438399,None,140.12649361125315,None,156.25949267396376,None,61.088995544906936,None,2.525018169876148,Conjunction,63.614013714783084,None
1968,True,Hong Kong Flu,1,128.031848432869,None,23.00002074543471,None,81.60903753911015,None,17.972295875200615,None,151.0318691783037,None,150.35911402802085,None,146.0041443080696,None,58.60901679367544,None,5.0277248702340955,Conjunction,63.63674166390953,None
1969,False,None,3,141.48473578481065,None,1.8417216576423243,Conjunction,58.00176012631971,None,5.658957649168428,Conjunction,143.32645744245298,None,160.51350408886964,None,135.82577813564222,None,56.160038468677385,None,7.500679306810753,Conjunction,63.66071777548814,None
1970,False,None,0,157.00926698427693,None,21.351753161446368,None,32.347651353872436,None,31.305622199971083,None,135.65751382283057,None,170.64308166185063,None,125.70364478430585,None,53.699404515318804,None,9.953869038524715,None,63.65327355384352,None
1971,False,None,3,175.9180035885587,Opposition,47.89261050459828,None,3.336691124032484,Conjunction,60.27787935030943,None,128.0253930839604,None,179.25469471259117,Opposition,115.64012423824926,None,51.229301628630765,None,12.385268845711153,None,63.61457047434192,None
1972,False,None,1,161.31758346496753,None,78.36643791980103,None,29.64232713937622,None,93.15556441054815,Square,120.31597861523143,None,169.04008939565625,None,105.52685212448431,None,48.72411078042481,None,14.789126490747122,None,63.51323727117193,None
1973,False,None,1,135.60336764034486,None,111.65499683512957,None,65.408305920326,None,128.82173943890106,None,112.74163552452559,None,158.98832643932917,None,95.5748929207541,Square,46.246690914803565,None,17.166742603771496,None,63.41343351857506,None
1974,False,None,1,110.65200169919416,None,144.14648610899437,None,100.38004287387156,None,163.66218287309104,None,105.20151219181147,None,148.96795542693428,None,85.6858154277148,Square,43.76644323512281,None,19.515696764096674,None,63.28213999921948,None
1975,False,None,3,89.01401349112643,Square,173.29262955275777,Opposition,132.00686359854618,None,164.8733855284618,None,97.69335695611579,Square,138.9791229103274,None,75.85937203733536,None,41.2857659542116,None,21.83398491878043,None,63.11975087299203,None
1976,False,None,1,70.80148079501754,None,160.8843888438252,None,160.3240205722919,None,136.77994731535102,None,90.08290804880768,Square,128.87449863269057,None,65.9784665203335,None,38.79159058388291,None,24.104441528474183,None,62.89603211235709,None
