family_id,birth_year,birth_order,source
932212,1947,4,sibling_roster
920216,1940,1,sibling_roster
920216,1942,2,sibling_roster
920216,1945,3,sibling_roster
900919,1939,1,sibling_roster
900919,1945,2,sibling_roster
911347,1939,2,graduate
911347,1938,1,sibling_roster
911347,1940,2,sibling_roster
918719,1939,4,graduate
918719,1931,1,sibling_roster
918719,1933,2,sibling_roster
918719,1935,3,sibling_roster
918719,1940,4,sibling_roster
918719,1943,5,sibling_roster
918719,1945,6,sibling_roster
918719,1954,7,sibling_roster
905251,1939,2,graduate
905251,1937,1,sibling_roster
905251,1939,2,sibling_roster
905251,1940,3,sibling_roster
905251,1942,4,sibling_roster
925475,1940,1,sibling_roster
925475,1946,2,sibling_roster
925475,1950,3,sibling_roster
915990,1939,4,graduate
915990,1920,1,sibling_roster
915990,1922,2,sibling_roster
915990,1933,3,sibling_roster
915990,1940,4,sibling_roster
933741,1940,3,graduate
933741,1930,1,sibling_roster
933741,1940,3,sibling_roster
923519,1938,3,graduate
923519,1930,1,sibling_roster
923519,1937,2,sibling_roster
923519,1939,3,sibling_roster
919891,1938,2,graduate
923728,1940,1,sibling_roster
923728,1943,2,sibling_roster
930105,1940,1,sibling_roster
932970,1939,2,graduate
932970,1937,1,sibling_roster
932970,1939,2,sibling_roster
928536,1939,1,sibling_roster
928536,1944,2,sibling_roster
928536,1945,3,sibling_roster
931409,1940,1,sibling_roster
931314,1939,2,graduate
931314,1939,1,sibling_roster
901821,1940,1,sibling_roster
901821,1945,2,sibling_roster
901821,1952,3,sibling_roster
909585,1939,9,graduate
908803,1939,2,graduate
908803,1936,1,sibling_roster
908803,1940,2,sibling_roster
917337,1939,4,graduate
917337,1926,1,sibling_roster
917337,1928,2,sibling_roster
917337,1930,3,sibling_roster
917337,1939,4,sibling_roster
930772,1938,2,graduate
930772,1936,1,sibling_roster
930772,1939,2,sibling_roster
929085,1939,2,graduate
933546,1939,8,graduate
933546,1921,1,sibling_roster
933546,1925,2,sibling_roster
933546,1928,3,sibling_roster
933546,1930,4,sibling_roster
933546,1932,5,sibling_roster
933546,1934,6,sibling_roster
933546,1937,7,sibling_roster
933546,1939,8,sibling_roster
923788,1938,2,graduate
909653,1939,2,graduate
909653,1935,1,sibling_roster
909653,1939,2,sibling_roster
904948,1938,2,graduate
904948,1934,1,sibling_roster
904948,1939,2,sibling_roster
904948,1942,3,sibling_roster
908079,1938,2,graduate
908079,1937,1,sibling_roster
908079,1939,2,sibling_roster
908079,1943,3,sibling_roster
929507,1939,3,graduate
929507,1935,1,sibling_roster
929507,1938,2,sibling_roster
929507,1939,3,sibling_roster
929507,1941,4,sibling_roster
929507,1945,5,sibling_roster
929507,1947,6,sibling_roster
929507,1950,7,sibling_roster
929507,1951,8,sibling_roster
902121,1939,2,graduate
902121,1936,1,sibling_roster
902121,1940,2,sibling_roster
927084,1939,4,graduate
927084,1929,1,sibling_roster
927084,1931,2,sibling_roster
927084,1935,3,sibling_roster
927084,1939,4,sibling_roster
927084,1943,5,sibling_roster
927084,1944,6,sibling_roster
927084,1949,7,sibling_roster
919892,1939,2,graduate
919892,1937,1,sibling_roster
919892,1940,2,sibling_roster
923381,1939,1,sibling_roster
923381,1940,2,sibling_roster
921933,1940,1,sibling_roster
921933,1947,2,sibling_roster
909529,1939,3,graduate
909529,1934,1,sibling_roster
909529,1937,2,sibling_roster
909529,1940,3,sibling_roster
909332,1939,2,graduate
909332,1940,1,sibling_roster
909332,1944,2,sibling_roster
909332,1944,3,sibling_roster
909332,1947,4,sibling_roster
909332,1950,5,sibling_roster
925262,1938,3,graduate
925262,1928,1,sibling_roster
925262,1939,2,sibling_roster
925262,1939,3,sibling_roster
905921,1939,3,graduate
905921,1936,1,sibling_roster
905921,1937,2,sibling_roster
905921,1939,3,sibling_roster
905921,1940,4,sibling_roster
927419,1939,3,graduate
904984,1939,1,sibling_roster
920183,1940,1,sibling_roster
911481,1939,1,sibling_roster
911481,1940,2,sibling_roster
