date,total_ed_visits
2022-05-19,10653
2022-05-20,10444
2022-05-21,9276
2022-05-22,9546
2022-05-23,12216
2022-05-24,11376
2022-05-25,11026
2022-05-26,10860
2022-05-27,10632
2022-05-28,9214
2022-05-29,9246
2022-05-30,10181
2022-05-31,11618
2022-06-01,10744
2022-06-02,10813
2022-06-03,10763
2022-06-04,9422
2022-06-05,9290
2022-06-06,11957
2022-06-07,10887
2022-06-08,10882
2022-06-09,10391
2022-06-10,10633
2022-06-11,9483
2022-06-12,9013
2022-06-13,11958
2022-06-14,10977
2022-06-15,10701
2022-06-16,10258
2022-06-17,10417
2022-06-18,9144
2022-06-19,8525
2022-06-20,11056
2022-06-21,10980
2022-06-22,10334
2022-06-23,9987
2022-06-24,10127
2022-06-25,9279
2022-06-26,9361
2022-06-27,11341
2022-06-28,10894
2022-06-29,10745
2022-06-30,10264
2022-07-01,10377
2022-07-02,9614
2022-07-03,9235
2022-07-04,8963
2022-07-05,11627
2022-07-06,11094
2022-07-07,10660
2022-07-08,10288
2022-07-09,9249
2022-07-10,8865
2022-07-11,11314
2022-07-12,10621
2022-07-13,10466
2022-07-14,10154
2022-07-15,10101
2022-07-16,8938
2022-07-17,8858
2022-07-18,10916
2022-07-19,10722
2022-07-20,10656
2022-07-21,10286
2022-07-22,10010
2022-07-23,9295
2022-07-24,9014
2022-07-25,11255
2022-07-26,10860
2022-07-27,10599
2022-07-28,10318
2022-07-29,9873
2022-07-30,9059
2022-07-31,8958
2022-08-01,11104
2022-08-02,10497
2022-08-03,10374
2022-08-04,10473
2022-08-05,10389
2022-08-06,9242
2022-08-07,9337
2022-08-08,11350
2022-08-09,10514
2022-08-10,10320
2022-08-11,10189
2022-08-12,9995
2022-08-13,8605
2022-08-14,8560
2022-08-15,11119
2022-08-16,10232
2022-08-17,10027
2022-08-18,9857
2022-08-19,9718
2022-08-20,8860
2022-08-21,8574
2022-08-22,10692
2022-08-23,10470
2022-08-24,10370
2022-08-25,9921
2022-08-26,9843
2022-08-27,8776
2022-08-28,8521
2022-08-29,10956
2022-08-30,10266
2022-08-31,10037
2022-09-01,9717
2022-09-02,9576
2022-09-03,8760
2022-09-04,8381
2022-09-05,9558
2022-09-06,9994
2022-09-07,10103
2022-09-08,10097
2022-09-09,10238
2022-09-10,9287
2022-09-11,8735
2022-09-12,11400
2022-09-13,10527
2022-09-14,10802
2022-09-15,10534
2022-09-16,10417
2022-09-17,9329
2022-09-18,9308
2022-09-19,12149
2022-09-20,11328
2022-09-21,11377
2022-09-22,10366
2022-09-23,9983
